Month,County,Fatalities,Events
2015-04,Garissa,0.0,1.0
2015-04,Homa Bay,0.0,0.0
2015-04,Isiolo,0.0,0.0
2015-04,Kajiado,0.0,0.0
2015-04,Kakamega,2.0,1.0
2015-04,Kericho,0.0,0.0
2015-04,Kiambu,2.0,4.0
2015-04,Kilifi,0.0,0.0
2015-04,Kirinyaga,0.0,0.0
2015-04,Kisii,0.0,1.0
2015-04,Kisumu,0.0,0.0
2015-04,Kitui,0.0,0.0
2015-04,Kwale,2.0,1.0
2015-04,Laikipia,0.0,0.0
2015-04,Lamu,0.0,0.0
2015-04,Machakos,0.0,0.0
2015-04,Makueni,0.0,0.0
2015-04,Mandera,0.0,4.0
2015-04,Marsabit,0.0,0.0
2015-04,Meru,0.0,0.0
2015-04,Migori,1.0,1.0
2015-04,Mombasa,0.0,2.0
2015-04,Muranga,0.0,0.0
2015-04,Nairobi,0.0,4.0
2015-04,Nakuru,0.0,0.0
2015-04,Nandi,0.0,1.0
2015-04,Narok,0.0,1.0
2015-04,Nyamira,0.0,0.0
2015-04,Nyandarua,0.0,1.0
2015-04,Nyeri,0.0,1.0
2015-04,Samburu,0.0,0.0
2015-04,Siaya,0.0,1.0
2015-04,Taita Taveta,0.0,0.0
2015-04,Tana River,0.0,1.0
2015-04,Tharaka-Nithi,0.0,1.0
2015-04,Trans Nzoia,0.0,0.0
2015-04,Turkana,0.0,0.0
2015-04,Uasin Gishu,1.0,1.0
2015-04,Vihiga,0.0,0.0
2015-04,Wajir,0.0,0.0
2015-04,West Pokot,0.0,0.0
2015-05,Baringo,54.0,3.0
2015-05,Bomet,0.0,0.0
2015-05,Bungoma,0.0,0.0
2015-05,Busia,0.0,0.0
2015-05,Elgeyo Marakwet,0.0,0.0
2015-05,Embu,0.0,0.0
2015-05,Garissa,23.0,6.0
2015-05,Homa Bay,0.0,0.0
2015-05,Isiolo,1.0,1.0
2015-05,Kajiado,0.0,0.0
2015-05,Kakamega,0.0,0.0
2015-05,Kericho,0.0,0.0
2015-05,Kiambu,0.0,1.0
2015-05,Kilifi,0.0,0.0
2015-05,Kirinyaga,0.0,0.0
2015-05,Kisii,0.0,1.0
2015-05,Kisumu,0.0,1.0
2015-05,Kitui,0.0,0.0
2015-05,Kwale,0.0,0.0
2015-05,Laikipia,0.0,0.0
2015-05,Lamu,0.0,0.0
2015-05,Machakos,0.0,0.0
2015-05,Makueni,0.0,1.0
2015-05,Mandera,0.0,1.0
2015-05,Marsabit,2.0,2.0
2015-05,Meru,0.0,1.0
2015-05,Migori,0.0,0.0
2015-05,Mombasa,1.0,2.0
2015-05,Muranga,1.0,1.0
2015-05,Nairobi,1.0,1.0
2015-05,Nakuru,0.0,2.0
2015-05,Nandi,0.0,0.0
2015-05,Narok,0.0,0.0
2015-05,Nyamira,0.0,0.0
2015-05,Nyandarua,0.0,0.0
2015-05,Nyeri,0.0,0.0
2015-05,Samburu,15.0,1.0
2015-05,Siaya,0.0,0.0
2015-05,Taita Taveta,0.0,0.0
2015-05,Tana River,1.0,1.0
2015-05,Tharaka-Nithi,0.0,0.0
2015-05,Trans Nzoia,0.0,0.0
2015-05,Turkana,0.0,0.0
2015-05,Uasin Gishu,0.0,0.0
2015-05,Vihiga,0.0,0.0
2015-05,Wajir,0.0,0.0
2015-05,West Pokot,0.0,0.0
2015-06,Baringo,0.0,0.0
2015-06,Bomet,0.0,0.0
2015-06,Bungoma,0.0,0.0
2015-06,Busia,0.0,0.0
2015-06,Elgeyo Marakwet,0.0,0.0
2015-06,Embu,0.0,0.0
2015-06,Garissa,0.0,1.0
2015-06,Homa Bay,0.0,0.0
2015-06,Isiolo,3.0,3.0
2015-06,Kajiado,0.0,0.0
2015-06,Kakamega,0.0,0.0
2015-06,Kericho,0.0,0.0
2015-06,Kiambu,0.0,0.0
2015-06,Kilifi,0.0,0.0
2015-06,Kirinyaga,0.0,0.0
2015-06,Kisii,0.0,0.0
2015-06,Kisumu,0.0,1.0
2015-06,Kitui,0.0,0.0
2015-06,Kwale,0.0,1.0
2015-06,Laikipia,10.0,1.0
2015-06,Lamu,11.0,2.0
2015-06,Machakos,0.0,1.0
2015-06,Makueni,0.0,0.0
2015-06,Mandera,35.0,4.0
2015-06,Marsabit,0.0,1.0
2015-06,Meru,0.0,0.0
2015-06,Migori,0.0,0.0
2015-06,Mombasa,1.0,2.0
2015-06,Muranga,0.0,0.0
2015-06,Nairobi,2.0,6.0
2015-06,Nakuru,0.0,1.0
2015-06,Nandi,0.0,0.0
2015-06,Narok,0.0,0.0
2015-06,Nyamira,0.0,0.0
2015-06,Nyandarua,0.0,0.0
2015-06,Nyeri,0.0,0.0
2015-06,Samburu,0.0,0.0
2015-06,Siaya,0.0,1.0
2015-06,Taita Taveta,0.0,0.0
2015-06,Tana River,0.0,0.0
2015-06,Tharaka-Nithi,0.0,1.0
2015-06,Trans Nzoia,0.0,0.0
2015-06,Turkana,0.0,0.0
2015-06,Uasin Gishu,0.0,0.0
2015-06,Vihiga,0.0,0.0
2015-06,Wajir,4.0,2.0
2015-06,West Pokot,0.0,0.0
2015-07,Baringo,0.0,0.0
2015-07,Bomet,0.0,0.0
2015-07,Bungoma,0.0,0.0
2015-07,Busia,0.0,0.0
2015-07,Elgeyo Marakwet,2.0,2.0
2015-07,Embu,0.0,1.0
2015-07,Garissa,0.0,0.0
2015-07,Homa Bay,0.0,0.0
2015-07,Isiolo,0.0,1.0
2015-07,Kajiado,0.0,0.0
2015-07,Kakamega,0.0,0.0
2015-07,Kericho,0.0,0.0
