County,Month,r3q,r1h,r3h,r1q
Baringo,2015-01,83.57760666666667,16.909585233333335,148.83556166666668,50.2985965
Baringo,2015-02,73.36992550000001,14.057184833333332,90.9156145,54.021410333333336
Baringo,2015-03,41.03444916666667,18.3354225,49.30219483333334,37.70090866666666
Baringo,2015-04,84.96436683333333,144.81695166666665,177.209555,121.66245066666666
Baringo,2015-05,91.39230516666667,129.32985833333333,292.4822216666667,90.33358399999999
Baringo,2015-06,102.74196333333333,97.08192733333334,371.228735,97.42859333333332
Baringo,2015-07,85.34823999999999,70.12847766666667,296.54025333333334,69.23187833333334
Baringo,2015-08,70.6574725,63.18903916666667,230.39944166666666,52.89257766666666
Baringo,2015-09,55.28542516666667,39.314330166666664,172.631845,50.330213333333326
Baringo,2015-10,57.12657066666666,55.32423466666666,157.82760166666665,80.5760915
Baringo,2015-11,93.81917483333332,130.36706583333333,225.00563666666667,150.110145
Baringo,2015-12,124.13990333333334,78.90027916666666,264.591575,131.55605
Baringo,2016-01,145.59030833333333,55.1311165,264.39846,143.1697
Baringo,2016-02,125.00217333333335,25.10217666666667,159.13357499999998,83.19191683333334
Baringo,2016-03,101.88598016666667,48.838899166666664,129.07219333333333,86.92948266666667
Baringo,2016-04,95.50656350000001,125.323874,199.26494833333334,103.96013416666666
Baringo,2016-05,128.1463125,236.01716833333333,410.17994666666664,163.27602333333334
Baringo,2016-06,123.43929583333333,83.28971166666666,444.63073833333334,83.805029
Baringo,2016-07,125.3111725,117.23266666666666,436.53954666666664,112.01022233333333
Baringo,2016-08,94.27349,108.9673525,309.489715,88.36194466666666
Baringo,2016-09,86.06411666666668,45.63424233333333,271.8342583333333,57.3749445
Baringo,2016-10,79.22659900000001,68.59041333333333,223.19199666666668,99.65612399999999
Baringo,2016-11,70.28506116666667,57.59957833333333,171.8242325,66.943288
Baringo,2016-12,73.384055,33.851530833333335,160.04152416666668,57.5642255
Baringo,2017-01,58.569408833333334,14.506714,105.95782000000001,49.65284433333333
Baringo,2017-02,62.362053333333336,27.30694516666667,75.66519266666667,93.4305285
Baringo,2017-03,64.062661,36.713221499999996,78.526881,69.3581595
Baringo,2017-04,58.431765000000006,53.917567166666664,117.93773316666666,47.52251366666667
Baringo,2017-05,66.00649333333332,118.87945,209.51023833333332,83.70873066666667
Baringo,2017-06,67.210675,68.76786,241.5648666666667,69.15928466666666
Baringo,2017-07,103.89456083333334,174.21970933333333,361.8670233333334,158.32594066666667
Baringo,2017-08,137.33947,210.6192716666667,453.6068433333333,167.132024
Baringo,2017-09,164.199545,137.00859333333332,521.8475983333333,156.45754166666669
Baringo,2017-10,162.63917833333332,111.96270299999999,459.59056499999997,159.22046166666667
Baringo,2017-11,161.68831166666666,145.44304416666668,394.41433166666667,164.29539833333334
Baringo,2017-12,133.53792416666667,30.218476,287.6242316666667,54.05362233333333
Baringo,2018-01,101.23037649999999,11.487113333333333,187.14863333333332,39.40694233333333
Baringo,2018-02,42.74629266666667,9.47051825,51.17610716666667,40.61787333333333
Baringo,2018-03,119.02284666666667,133.00289666666666,153.96052899999998,208.85238166666667
Baringo,2018-04,189.84770333333333,259.2067183333333,401.68012833333336,215.74182
Baringo,2018-05,218.11364666666668,307.29601166666663,699.50561,214.05965833333335
Baringo,2018-06,226.24268500000002,251.5332,818.0359750000001,242.13177
Baringo,2018-07,199.94743666666668,139.08641566666668,697.91565,136.86242166666668
Baringo,2018-08,141.54977333333332,76.26645166666667,466.88606166666665,63.67371416666666
Baringo,2018-09,92.88346466666667,78.36615516666667,293.71902166666666,86.228131
Baringo,2018-10,73.624545,50.394831833333335,205.02743833333332,74.42969133333334
Baringo,2018-11,71.80473466666666,45.050667499999996,173.811655,55.44683666666666
Baringo,2018-12,78.401161,69.74969666666668,165.195205,118.91381916666667
Baringo,2019-01,79.8624325,27.3232465,142.12361166666668,75.13817666666667
Baringo,2019-02,86.58906566666667,9.6356458,106.70859066666667,41.692995333333336
Baringo,2019-03,54.175422999999995,27.859042666666667,64.817936,52.23368083333333
Baringo,2019-04,46.126364,56.177496,93.672184,48.992212333333335
Baringo,2019-05,58.098983833333335,99.01313233333333,183.04967333333335,69.86317183333334
Baringo,2019-06,87.11115666666666,157.708205,312.89884,154.88967
Baringo,2019-07,108.85696333333334,122.23046833333335,378.95180166666665,115.49931483333334
Baringo,2019-08,133.09400666666667,158.78344666666666,438.72215,127.71496566666667
Baringo,2019-09,126.38086566666668,118.44589283333333,399.45980000000003,132.52428833333332
Baringo,2019-10,142.64512333333332,123.21420916666666,400.4435516666667,171.27562666666665
Baringo,2019-11,150.42179833333333,124.59175533333332,366.25186,142.2002015
Baringo,2019-12,196.13912333333334,174.59464333333335,422.4006033333333,278.37734333333333
Baringo,2020-01,186.4443,42.3697855,341.5561883333333,114.59802
Baringo,2020-02,209.8548033333333,53.625662,270.59009499999996,164.18816999999999
Baringo,2020-03,159.56049166666665,110.73257666666666,206.728035,175.5888616666667
Baringo,2020-04,167.93193333333332,187.89993,352.2581783333333,156.70667333333333
Baringo,2020-05,169.11565333333334,239.31290333333334,537.9454216666667,164.52472733333335
Baringo,2020-06,158.92786166666667,145.2953375,572.5081633333333,145.23832583333333
Baringo,2020-07,164.49349166666664,187.21976499999997,571.828,176.66067833333332
Baringo,2020-08,168.87485166666667,223.27811,555.7932233333333,178.12631333333334
Baringo,2020-09,175.42770833333336,144.392375,554.8902583333333,161.268295
Baringo,2020-10,169.24828333333335,108.27176833333334,475.94227500000005,154.58268833333332
Baringo,2020-11,148.93824666666669,110.0364505,362.70058,126.22364766666665
