,County,Month,vim,viq
0,Baringo,2015-01,0.4656348833333333,96.4611625
1,Baringo,2015-02,0.38643553833333333,89.87816983333335
2,Baringo,2015-03,0.37387680500000003,87.66696233333333
3,Baringo,2015-04,0.48044146166666674,94.46613583333334
4,Baringo,2015-05,0.6147140783333334,103.89285266666667
5,Baringo,2015-06,0.6225015883333334,103.87077
6,Baringo,2015-07,0.5813159833333333,99.87572399999999
7,Baringo,2015-08,0.5422184133333333,92.938833
8,Baringo,2015-09,0.4682306983333333,84.5585115
9,Baringo,2015-10,0.4547330783333334,85.69252683333333
10,Baringo,2015-11,0.5575762516666667,101.220324
11,Baringo,2015-12,0.6143041516666666,114.17693733333333
12,Baringo,2016-01,0.5775249183333333,117.81426733333332
13,Baringo,2016-02,0.48295877833333334,109.72931133333333
14,Baringo,2016-03,0.44123337333333335,101.53057066666668
15,Baringo,2016-04,0.5148714833333333,100.75370266666665
16,Baringo,2016-05,0.6280785066666666,106.08195016666667
17,Baringo,2016-06,0.6379871066666666,106.37888
18,Baringo,2016-07,0.641963475,109.77645849999999
19,Baringo,2016-08,0.625749175,106.339401
20,Baringo,2016-09,0.5512284333333334,98.3471795
21,Baringo,2016-10,0.493437635,92.33263233333334
22,Baringo,2016-11,0.4677998666666667,85.78070583333334
23,Baringo,2016-12,0.43459869500000003,82.73150066666666
24,Baringo,2017-01,0.38114067333333335,80.74416083333334
25,Baringo,2017-02,0.3603590266666667,84.73606833333334
26,Baringo,2017-03,0.353863765,83.6729435
27,Baringo,2017-04,0.40430892,80.96099516666668
28,Baringo,2017-05,0.5065118516666667,86.88725949999998
29,Baringo,2017-06,0.5225913366666667,88.30440933333334
30,Baringo,2017-07,0.5641166816666666,97.24163083333333
31,Baringo,2017-08,0.6321598466666667,107.43656133333333
32,Baringo,2017-09,0.6344184716666667,112.20438333333334
33,Baringo,2017-10,0.6138029933333333,113.12364816666667
34,Baringo,2017-11,0.625289635,112.596965
35,Baringo,2017-12,0.546605525,102.37237083333332
36,Baringo,2018-01,0.4347838233333334,90.97789733333333
37,Baringo,2018-02,0.40206005,93.52041566666666
38,Baringo,2018-03,0.49439500333333336,113.03254250000002
39,Baringo,2018-04,0.6496080316666667,125.21191166666667
40,Baringo,2018-05,0.7065086266666666,118.36054833333333
41,Baringo,2018-06,0.7138169566666667,118.14158766666667
42,Baringo,2018-07,0.6780825500000001,115.48539833333332
43,Baringo,2018-08,0.6170486949999999,104.87759416666667
44,Baringo,2018-09,0.5899882116666667,104.75080733333334
45,Baringo,2018-10,0.5476260216666667,101.47168666666666
46,Baringo,2018-11,0.53909094,97.61085150000001
47,Baringo,2018-12,0.541090325,101.156885
48,Baringo,2019-01,0.48034168166666663,99.3633825
49,Baringo,2019-02,0.40267047333333333,93.29941233333334
50,Baringo,2019-03,0.3757061883333333,88.21101933333334
51,Baringo,2019-04,0.38330297500000005,77.392206
52,Baringo,2019-05,0.45689312666666665,78.96060933333334
53,Baringo,2019-06,0.6129615949999999,102.41765733333334
54,Baringo,2019-07,0.6940310066666666,118.0887355
55,Baringo,2019-08,0.6879564916666667,116.19469833333333
56,Baringo,2019-09,0.636687575,112.36722400000001
57,Baringo,2019-10,0.62108805,114.15664
58,Baringo,2019-11,0.6549747183333333,117.26276583333333
59,Baringo,2019-12,0.6726746466666667,124.17501600000001
60,Baringo,2020-01,0.6319882916666667,128.271346
61,Baringo,2020-02,0.5992816783333333,134.30924666666667
62,Baringo,2020-03,0.5743459949999999,129.61204083333334
63,Baringo,2020-04,0.6137915266666667,118.742385
64,Baringo,2020-05,0.67795741,113.91050766666666
65,Baringo,2020-06,0.6864106833333333,113.88981983333333
66,Baringo,2020-07,0.6939323416666667,118.13100933333332
67,Baringo,2020-08,0.69592572,117.64290683333333
68,Baringo,2020-09,0.6656227633333334,117.43224166666666
69,Baringo,2020-10,0.6419862466666667,117.91642166666666
70,Baringo,2020-11,0.6489320866666667,116.35249683333335
71,Baringo,2020-12,0.5789909,107.746715
72,Baringo,2021-01,0.48918614999999993,101.11102966666665
73,Baringo,2021-02,0.4438606,101.94541500000001
74,Baringo,2021-03,0.43141777666666664,99.72926583333333
75,Baringo,2021-04,0.4825941816666666,94.96508999999999
76,Baringo,2021-05,0.5921389433333334,100.41164666666667
77,Baringo,2021-06,0.59325896,99.39901083333332
78,Baringo,2021-07,0.6012501366666667,103.2363175
79,Baringo,2021-08,0.6209434850000001,105.526089
80,Baringo,2021-09,0.607327675,107.63879666666666
81,Baringo,2021-10,0.59213447,109.31579916666665
82,Baringo,2021-11,0.52528368,95.42447499999999
83,Baringo,2021-12,0.46355120666666666,87.70153649999999
84,Baringo,2022-01,0.4211082666666666,88.15363583333334
85,Baringo,2022-02,0.4076335383333333,94.15569916666668
86,Baringo,2022-03,0.3989769816666667,92.783565
87,Baringo,2022-04,0.48445981499999996,95.25538683333333
88,Baringo,2022-05,0.5813311266666666,98.60043833333333
89,Baringo,2022-06,0.5733451666666667,96.13933850000001
90,Baringo,2022-07,0.56818029,97.77354833333334
91,Baringo,2022-08,0.6034977666666667,102.86803933333333
92,Baringo,2022-09,0.6119262166666667,108.63964399999999
93,Baringo,2022-10,0.543989125,101.0428625
94,Baringo,2022-11,0.4888091116666667,89.26709999999999
95,Baringo,2022-12,0.46712121,88.3709275
96,Baringo,2023-01,0.4315839066666667,90.3267515
97,Baringo,2023-02,0.37341960166666666,87.40686533333333
98,Baringo,2023-03,0.4218909966666667,97.90156933333333
99,Baringo,2023-04,0.5577186816666667,108.75027866666666
